ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
471.0,1762.0,4.0,2.0,,,,4.0,1.0,,,BANGLADESH,,NORTHERN BAY OF BENGAL,22.0,92.0,60.0,1.83,,0.8,,,,3.0,,,,,,,,,,,200.0,3.0,,,,,,3.0,,,,
473.0,1762.0,9.0,27.0,,,,1.0,0.0,,,UK,,"THE THAMES, ENGLAND",51.5,0.1,73.0,3.0,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
475.0,1763.0,1.0,29.0,9.0,,,3.0,1.0,,7.4,JAPAN,,SANRIKU,40.8,142.0,85.0,5.0,,2.0,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,2.0,2.0,1.0,,
479.0,1763.0,9.0,12.0,,,,3.0,1.0,,,INDONESIA,,BANDA SEA,-6.0,130.0,83.0,9.0,,,2.5,,7.0,1.0,,,,,,,,,,,7.0,1.0,,,,,,2.0,,3.0,,
480.0,1763.0,9.0,18.0,,,,1.0,0.0,,,UK,,"WEYMOUTH, ENGLAND",50.6,-2.466,73.0,3.0,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
484.0,1765.0,5.0,,,,,1.0,0.0,,,CHINA,,SOUTH CHINA SEA,23.12,113.25,84.0,9.0,,1.0,2.0,,10000.0,4.0,,,,,,,,,,,10000.0,4.0,,,,,,,,,,
485.0,1765.0,7.0,23.0,,,,-1.0,9.0,,,SWEDEN,,SWEDEN,65.2,21.3,73.0,1.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
497.0,1768.0,7.0,22.0,,,,4.0,1.0,,6.5,JAPAN,,RYUKYU ISLANDS,26.2,127.5,85.0,1.2,,0.3,1.0,,,,,,,,,1.0,9.0,1.0,,,,,,,,,,1.0,9.0,1.0,,
503.0,1771.0,4.0,24.0,,,,4.0,1.0,,7.4,JAPAN,,RYUKYU ISLANDS,24.0,124.3,85.0,85.4,,6.4,3.0,,13486.0,4.0,,,,,,4.0,3237.0,4.0,,,13486.0,4.0,,,,,,4.0,3237.0,4.0,,
2767.0,1773.0,5.0,6.0,,,,2.0,1.0,,,MOROCCO,,TANGIERS,35.8,-5.83,50.0,9.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
524.0,1780.0,6.0,29.0,,,,4.0,1.0,,7.5,RUSSIA,,S. KURIL ISLANDS,45.3,151.2,86.0,12.0,,3.6,3.0,,12.0,1.0,,,,,,1.0,,1.0,,,12.0,1.0,,,,,,1.0,,1.0,,
525.0,1780.0,9.0,9.0,,,,4.0,6.0,,,JAPAN,,SW. KYUSHU ISLAND,31.6,130.7,85.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
526.0,1780.0,10.0,3.0,,,,-1.0,9.0,,,JAMAICA,,SAVANNA LA MAR,18.2,-78.1,74.0,3.0,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5640.0,1781.0,4.0,,,,,3.0,0.0,,,TAIWAN,,KAOHSIUNG,24.0,121.0,84.0,30.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,1.0
533.0,1782.0,5.0,22.0,,,,2.0,1.0,,7.0,TAIWAN,,TAIWAN STRAIT,24.5,120.5,84.0,10.0,,,2.5,,40000.0,4.0,,,,,,3.0,,3.0,,,40000.0,4.0,,,,,,3.0,,3.0,,
3209.0,1783.0,2.0,6.0,0.0,20.0,,4.0,3.0,6.0,5.9,ITALY,,MESSINA STRAITS,38.217,15.633,50.0,16.0,,,,,1500.0,4.0,,,,,,2.0,,2.0,,,1500.0,4.0,,,,,,2.0,,2.0,,
539.0,1784.0,3.0,28.0,,,,1.0,1.0,,,MEXICO,,S. MEXICO,16.9,-99.9,88.0,3.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,3.0,,,,
544.0,1787.0,3.0,28.0,17.0,30.0,,4.0,1.0,,8.3,MEXICO,,SAN MARCOS,16.5,-98.5,88.0,4.0,,2.0,2.5,,11.0,1.0,,1.0,,,,3.0,,3.0,,,11.0,1.0,,,,1.0,,3.0,,3.0,,
545.0,1787.0,4.0,3.0,15.0,30.0,,2.0,1.0,,7.3,MEXICO,,SAN MARCOS,15.5,-97.0,88.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
549.0,1788.0,7.0,21.0,,,,4.0,1.0,,8.0,USA,AK,"ALASKA PENINSULA, AK",57.0,-153.0,87.0,30.0,,3.0,4.0,,,3.0,,,,,,1.0,,1.0,,,,3.0,,,,,,1.0,,1.0,,
551.0,1788.0,8.0,6.0,,,,4.0,1.0,,8.0,USA,AK,"SHUMAGIN ISLANDS, AK",55.0,-161.0,87.0,88.0,,3.3,4.0,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,
